Highest_Charting_Position,Number_of_Times_Charted,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Genre,Release_Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(ms),Valence,Chord
1,8,Beggin',48633449,Måneskin,3377762,3Wrjm47oTz2sjIgck11l5e,rock,12/8/2017,100,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560,0.589,B
2,3,STAY (with Justin Bieber),47248719,The Kid LAROI,2230022,5HCyWlXZPP0y6Gqq8TgA20,hip hop,7/9/2021,99,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478,C#/Db
1,11,good 4 u,40162559,Olivia Rodrigo,6266514,4ZtFanR9U6ndgddUvNcjcG,pop,5/21/2021,99,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147,0.688,A
3,5,Bad Habits,37799456,Ed Sheeran,83293380,6PQ88X9TkUIAUIZJHW2upE,pop,6/25/2021,98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591,B
5,1,INDUSTRY BABY (feat. Jack Harlow),33948454,Lil Nas X,5473565,27NovPIUIRrOZoCHxABJwK,hip hop,7/23/2021,96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894,D#/Eb
1,18,MONTERO (Call Me By Your Name),30071134,Lil Nas X,5473565,67BtfxlNbhBmCDR2L2l8qd,hip hop,3/31/2021,97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758,G#/Ab
3,16,Kiss Me More (feat. SZA),29356736,Doja Cat,8640063,748mdHapucXQri7IAO8yFK,pop,4/9/2021,94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742,G#/Ab
2,10,Todo De Ti,26951613,Rauw Alejandro,6080597,4fSIb4hdOQ151TILNsSEaF,latin,5/20/2021,95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342,D#/Eb
3,8,Yonaguni,25030128,Bad Bunny,36142273,2JPLbjOn0wPCngEot2STUS,latin,6/4/2021,96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710,0.44,C#/Db
8,10,I WANNA BE YOUR SLAVE,24551591,Måneskin,3377762,4pt5fDVTg5GhEvEtlz9dKk,rock,3/19/2021,95,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958,C#/Db
4,43,Levitating (feat. DaBaby),23518010,Dua Lipa,27142474,463CkQjx2Zk1yXoBuierM9,pop,10/1/2020,89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915,F#/Gb
9,9,Qué Más Pues?,22405111,"J Balvin, Maria Becerra",29051363,6hf0RpxTbOprT5nnwzkk8e,latin,5/28/2021,95,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773,0.768,G#/Ab
5,3,Permission to Dance,22062812,BTS,37106176,0LThjFY2iTtNdd4wviwVV2,korean,7/9/2021,95,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646,A
1,19,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126,4iJyoBOLtHqaGxP12qzhQI,pop,3/19/2021,94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464,C
2,10,Butter,19985713,BTS,37106176,2bgTY4UwhfBYhGT4HUYStN,korean,6/4/2021,95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695,G#/Ab
7,10,traitor,19480679,Olivia Rodrigo,6266514,5CZ40GBx1sQ9agT82CLQCT,pop,5/21/2021,94,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227,0.0849,D#/Eb
3,17,deja vu,18571755,Olivia Rodrigo,6266514,6HU7h9RYOaPRFeh0R3UeAr,pop,5/21/2021,93,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507,0.178,D
5,14,Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637,37BZB0z9T8Xu7U3e65qxFy,hip hop,4/23/2021,94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593,C
14,5,AM Remix,17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734,05bfbizlM5AX6Mf1RRyMho,latin,6/24/2021,93,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335,0.785,F#/Gb
20,7,Need To Know,16908917,Doja Cat,8640063,3Vi5XqYrmQgOYBajMWSvCi,pop,6/25/2021,90,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560,0.194,C#/Db
19,3,Volando - Remix,16606925,"Mora, Bad Bunny, Sech",151486,0G2zPzWqVjR68iNPmx2TBe,latin,7/8/2021,91,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474,0.632,F#/Gb
22,5,Ain't Shit,16126897,Doja Cat,8640063,5lAnYvAIkSDNXqfo7DyFUm,pop,6/25/2021,90,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253,0.619,D#/Eb
1,29,drivers license,15684978,Olivia Rodrigo,6266514,5wANPM4fQCJwkGd4rN57mH,pop,5/21/2021,92,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013,0.137,A#/Bb
24,31,Heat Waves,15089184,Glass Animals,1890510,3USxtqRwSYz57Ewm6wWRMp,pop,8/7/2020,85,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805,0.531,B
1,83,Blinding Lights,15011809,The Weeknd,35305637,0VjIjW4GlUZAMYd2vXMi3b,hip hop,3/20/2020,92,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040,0.334,C#/Db
12,10,happier,14849078,Olivia Rodrigo,6266514,2tGvwE8GcFKwNdAXMnlbfl,pop,5/21/2021,92,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933,0.338,F#/Gb
27,3,Pepas,14809458,Farruko,10502148,5fwSHlTEWpluwOM0Sxnh5k,latin,6/24/2021,92,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120,0.442,G
18,3,Motley Crew,14329162,Post Malone,33651775,40uMIn2zJLAQhNXghRjBed,hip hop,7/9/2021,90,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213,0.288,D#/Eb
15,23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,14273637,"Riton, Nightcrawlers",83689,4cG7HUWYHBV6R6tHn1gxrl,dance music,1/15/2021,92,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153,0.801,D
3,28,Astronaut In The Ocean,14174752,Masked Wolf,365975,3Ofmpyhv5UAQ70mENzB277,hip hop,1/6/2021,89,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780,0.472,E
